District,Name,Enrollment,FreeLunch,ReducedLunch,FreeorReduced,FreeorReducedPrice,FreeOrReducedPercent
5310,Postville,656,654,0,654,99.7,99.7
5184,Perry,1746,1104,222,1326,75.95,75.9
6219,Storm Lake,2306,1453,253,1706,73.98,74
6516,Twin Rivers,50,30,7,37,74,74
1368,Columbus,739,487,59,546,73.88,73.9
1737,Des Moines Independent,31356,19796,3163,22959,73.22,73.2
1701,Denison,2126,1273,255,1528,71.87,71.9
4104,Marshalltown,4852,2932,456,3388,69.83,69.8
6795,Waterloo,10662,6498,914,7412,69.52,69.5
5328,Prescott,38,22,4,26,68.42,68.4
4905,Olin Consolidated,83,52,4,56,67.47,67.5
3897,LuVerne,73,39,10,49,67.12,67.1
6039,Sioux City,13862,7804,1378,9182,66.24,66.2
3537,Laurens-Marathon,270,163,13,176,65.19,65.2
1093,Central Decatur,698,339,109,448,64.18,64.2
2313,Fort Dodge,3680,1951,406,2357,64.05,64
7002,Whiting,193,92,30,122,63.21,63.2
916,CAL,220,117,21,138,62.73,62.7
3312,Keokuk,1844,953,185,1138,61.71,61.7
1944,Eagle Grove,823,421,85,506,61.48,61.5
882,Burlington,4001,2225,217,2442,61.03,61
6097,South Page,127,70,7,77,60.63,60.6
6990,West Sioux,740,360,88,448,60.54,60.5
2493,Gilmore City-Bradgate,42,18,7,25,59.52,59.5
6098,South Tama County,1423,693,150,843,59.24,59.2
6975,West Liberty,1179,560,138,698,59.2,59.2
4505,Mormon Trail,215,107,20,127,59.07,59.1
1211,Clarke,1330,622,161,783,58.87,58.9
5463,Red Oak,1088,543,94,637,58.55,58.5
2834,Harmony,256,107,42,149,58.2,58.2
2772,Hamburg,207,107,13,120,57.97,58
977,Cardinal,627,306,56,362,57.74,57.7
4869,Oelwein,1209,562,127,689,56.99,57
1278,Clinton,3465,1724,246,1970,56.85,56.9
4778,North Kossuth,261,112,36,148,56.7,56.7
2322,Fort Madison,2028,955,169,1124,55.42,55.4
1503,Creston,1441,650,143,793,55.03,55
4131,Mason City,3761,1680,390,2070,55.04,55
4978,Orient-Macksburg,166,77,14,91,54.82,54.8
5049,Ottumwa,4332,2049,302,2351,54.27,54.3
2781,Hampton-Dumont,1186,545,94,639,53.88,53.9
72,Albert City-Truesdale,99,36,17,53,53.54,53.5
1611,Davenport,15269,7520,619,8139,53.3,53.3
6651,Villisca,280,115,33,148,52.86,52.9
5895,Seymour,250,104,28,132,52.8,52.8
1107,Chariton,1337,635,70,705,52.73,52.7
4033,Maple Valley-Anthon Oto,614,238,85,323,52.61,52.6
4644,Newell-Fonda,463,190,53,243,52.48,52.5
3609,Lenox,471,196,50,246,52.23,52.2
4491,Moravia,378,151,46,197,52.12,52.1
3465,Lamoni,322,134,33,167,51.86,51.9
594,Belmond-Klemme,716,334,37,371,51.82,51.8
1449,Corwith-Wesley,58,26,4,30,51.72,51.7
4572,Murray,322,130,36,166,51.55,51.6
4041,Maquoketa,1391,610,105,715,51.4,51.4
4581,Muscatine,5184,2308,353,2661,51.33,51.3
4725,Newton,2838,1230,224,1454,51.23,51.2
1476,Council Bluffs,8582,3895,466,4361,50.82,50.8
135,Allamakee,1116,329,237,566,50.72,50.7
1413,Coon Rapids-Bayard,379,137,55,192,50.66,50.7
387,Atlantic,1499,600,155,755,50.37,50.4
6854,Wayne,518,199,61,260,50.19,50.2
1053,Cedar Rapids,15884,6894,1055,7949,50.04,50
6462,Tri-County,234,88,29,117,50,50
5976,Shenandoah,996,411,84,495,49.7,49.7
5139,Paton-Churdan,198,81,17,98,49.49,49.5
171,Alta,489,206,34,240,49.08,49.1
1116,Charles City,1525,629,120,749,49.11,49.1
1970,East Union,475,190,43,233,49.05,49.1
6987,West Monona,636,241,71,312,49.06,49.1
6246,Stratford,90,37,7,44,48.89,48.9
1975,River Valley,393,126,65,191,48.6,48.6
2007,Eldora-New Providence,556,232,38,270,48.56,48.6
4787,North Winneshiek,140,35,33,68,48.57,48.6
6867,Webster City,1602,687,90,777,48.5,48.5
4269,Midland,461,184,38,222,48.16,48.2
3195,Greene County,1221,450,137,587,48.08,48.1
1134,Charter Oak-Ute,272,98,32,130,47.79,47.8
7047,Winfield-Mt Union,438,170,39,209,47.72,47.7
1782,Diagonal,105,41,9,50,47.62,47.6
5013,Oskaloosa,2353,975,145,1120,47.6,47.6
5283,Pocahontas Area,659,249,65,314,47.65,47.6
5805,Saydel,1302,509,110,619,47.54,47.5
5832,Schleswig,198,78,16,94,47.47,47.5
2124,Estherville Lincoln,1345,530,104,634,47.14,47.1
6512,Twin Cedars,348,137,27,164,47.13,47.1
6096,Southeast Webster Grand,530,178,71,249,46.98,47
2169,Fairfield,1650,620,150,770,46.67,46.7
4212,Melcher-Dallas,332,121,34,155,46.69,46.7
6175,Starmont,588,221,53,274,46.6,46.6
6750,Walnut,73,24,10,34,46.58,46.6
549,Bedford,445,165,42,207,46.52,46.5
6759,Wapello,632,234,60,294,46.52,46.5
6937,West Burlington Ind,883,334,76,410,46.43,46.4
3029,Howard-Winneshiek,1146,370,160,530,46.25,46.2
1431,Corning,423,145,50,195,46.1,46.1
873,North Iowa,441,145,58,203,46.03,46
2556,Graettinger-Terril,328,105,46,151,46.04,46
1071,Centerville,1329,499,111,610,45.9,45.9
3978,East Mills,456,165,44,209,45.83,45.8
4527,Mount Ayr,629,237,51,288,45.79,45.8
4536,Mount Pleasant,2021,798,124,922,45.62,45.6
243,Andrew,156,48,23,71,45.51,45.5
1332,Colfax-Mingo,652,261,35,296,45.4,45.4
6102,Spencer,1980,698,199,897,45.3,45.3
657,Eddyville-Blakesburg-,903,332,76,408,45.18,45.2
5724,Ruthven-Ayrshire,188,63,22,85,45.21,45.2
6768,Washington,1651,594,151,745,45.12,45.1
234,Anamosa,1212,437,107,544,44.88,44.9
6264,West Central Valley,841,324,53,377,44.83,44.8
6969,West Harrison,316,108,33,141,44.62,44.6
4509,Morning Sun,120,48,5,53,44.17,44.2
2205,Farragut,152,57,10,67,44.08,44.1
6003,Sidney,334,118,29,147,44.01,44
6741,East Sac County,913,295,105,400,43.81,43.8
1972,Eastern Allamakee,354,106,48,154,43.5,43.5
4518,Moulton-Udell,191,73,10,83,43.46,43.5
4860,Odebolt-Arthur,385,113,54,167,43.38,43.4
1206,Clarion-Goldfield-Dows,921,317,78,395,42.89,42.9
1218,Clay Central-Everly,296,98,29,127,42.91,42.9
4775,Northeast Hamilton,170,57,16,73,42.94,42.9
914,CAM,841,261,99,360,42.81,42.8
2088,Emmetsburg,732,221,90,311,42.49,42.5
2113,Essex,221,70,24,94,42.53,42.5
4774,North Fayette,777,234,96,330,42.47,42.5
5823,Schaller-Crestland,318,97,38,135,42.45,42.5
423,Aurelia,262,96,15,111,42.37,42.4
3033,Hubbard-Radcliffe,359,124,28,152,42.34,42.3
504,Battle Creek-Ida Grove,576,189,54,243,42.19,42.2
2862,Hartley-Melvin-Sanborn,650,225,49,274,42.15,42.2
6943,West Central,252,79,26,105,41.67,41.7
819,West Hancock,612,215,39,254,41.5,41.5
1152,Cherokee,1009,335,84,419,41.53,41.5
4356,Missouri Valley,784,244,79,323,41.2,41.2
1917,Boyer Valley,448,154,30,184,41.07,41.1
6030,Sioux Center,1167,346,133,479,41.05,41
5607,Rock Valley,777,242,76,318,40.93,40.9
5994,Sibley-Ocheyedan,777,251,66,317,40.8,40.8
4689,New London,508,156,51,207,40.75,40.7
1989,Edgewood-Colesburg,536,158,58,216,40.3,40.3
2151,Exira-Elk Horn-,361,100,45,145,40.17,40.2
2673,Nodaway Valley,651,207,55,262,40.25,40.2
2682,GMG,480,142,51,193,40.21,40.2
3841,Louisa-Muscatine,816,276,51,327,40.07,40.1
3150,Iowa Falls,1141,362,94,456,39.96,40
4043,Maquoketa Valley,700,190,89,279,39.86,39.9
7110,Woodward-Granger,1092,418,18,436,39.93,39.9
3375,Knoxville,1728,591,93,684,39.58,39.6
4419,MFL MarMac,755,235,64,299,39.6,39.6
5325,Prairie Valley,541,153,61,214,39.56,39.6
1619,Davis County,1213,398,81,479,39.49,39.5
9,AGWSR,539,178,34,212,39.33,39.33
6035,Sioux Central,604,187,50,237,39.24,39.2
6591,Valley,357,99,40,139,38.94,38.9
3168,IKM-Manning,652,174,79,253,38.8,38.8
5949,Sheldon,993,291,94,385,38.77,38.8
3420,Lake Mills,706,196,77,273,38.67,38.7
6091,South Central Calhoun,851,253,76,329,38.66,38.7
6592,Van Buren,568,160,59,219,38.56,38.6
576,Belle Plaine,522,165,35,200,38.31,38.3
2457,George-Little Rock,435,123,43,166,38.16,38.2
2295,Forest City,1123,296,132,428,38.11,38.1
3060,Humboldt,1400,438,94,532,38,38
1908,Dunkerton,454,138,34,172,37.89,37.9
81,Albia,1167,366,74,440,37.7,37.7
333,North Union,390,102,45,147,37.69,37.7
936,Camanche,1059,334,65,399,37.68,37.7
18,Adair-Casey,287,96,12,108,37.63,37.6
1675,Delwood,141,43,10,53,37.59,37.6
4890,Okoboji,933,249,102,351,37.62,37.6
2369,Fremont-Mills,453,144,26,170,37.53,37.5
153,North Butler,660,187,60,247,37.42,37.4
2097,English Valleys,437,147,16,163,37.3,37.3
6099,South O'Brien,584,146,71,217,37.16,37.2
1863,Dubuque,10472,3213,675,3888,37.13,37.1
2709,Grinnell-Newburg,1616,447,152,599,37.07,37.1
6660,Vinton-Shellsburg,1513,488,74,562,37.14,37.1
603,Bennett,81,26,4,30,37.04,37
2718,Griswold,494,133,50,183,37.04,37
414,Audubon,537,162,36,198,36.87,36.9
2754,Guthrie Center,510,128,60,188,36.86,36.9
3691,North Cedar,772,207,78,285,36.92,36.9
3645,Lewis Central,3054,896,215,1111,36.38,36.4
5508,Riceville,330,96,24,120,36.36,36.4
5510,Riverside,602,170,49,219,36.38,36.4
3816,Lone Tree,478,123,50,173,36.19,36.2
4776,North Mahaska,523,125,64,189,36.14,36.1
1968,East Marshall,855,263,44,307,35.91,35.9
355,Ar-We-Va,221,46,33,79,35.75,35.7
1359,Colo-NESCO School,446,123,36,159,35.65,35.7
4788,Northwood-Kensett,519,138,47,185,35.65,35.6
6700,Waco,438,126,30,156,35.62,35.6
5121,Panorama,706,188,62,250,35.41,35.4
3154,Iowa Valley,516,145,37,182,35.27,35.3
