District,Name,Enrollment,FreeLunch,ReducedLunch,FreeorReduced,FreeorReducedPrice
6867,Webster City,1602,687,90,777,48.5
6921,West Bend-Mallard,355,87,20,107,30.14
6930,West Branch,799,159,15,174,21.78
6937,West Burlington Ind,883,334,76,410,46.43
6943,West Central,252,79,26,105,41.67
6950,West Delaware County,1463,358,122,480,32.81
6957,West Des Moines,8963,2495,479,2974,33.18
6961,Western Dubuque,3107,610,242,852,27.42
6969,West Harrison,316,108,33,141,44.62
6975,West Liberty,1179,560,138,698,59.2
6983,West Lyon,872,122,65,187,21.44
6985,West Marshall,912,199,51,250,27.41
6987,West Monona,636,241,71,312,49.06
6990,West Sioux,740,360,88,448,60.54
6992,Westwood,522,123,58,181,34.67
7002,Whiting,193,92,30,122,63.21
7029,Williamsburg,1159,244,55,299,25.8
7038,Wilton,815,191,63,254,31.17
7047,Winfield-Mt Union,438,170,39,209,47.72
7056,Winterset,1710,466,105,571,33.39
7092,Woodbine,438,124,29,153,34.93
7098,Woodbury Central,574,80,30,110,19.16
7110,Woodward-Granger,1092,418,18,436,39.93
